GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Hispanic or Latino:
0500000US04021,04021,"Pinal County, Arizona",397604,116072
0500000US04023,04023,"Santa Cruz County, Arizona",46547,38736
0500000US04025,04025,"Yavapai County, Arizona",218586,30722
0500000US04027,04027,"Yuma County, Arizona",203292,125972
0500000US05001,05001,"Arkansas County, Arkansas",18569,556
0500000US05003,05003,"Ashley County, Arkansas",20989,1080
0500000US05005,05005,"Baxter County, Arkansas",40992,836
0500000US05007,05007,"Benton County, Arkansas",245231,39405
0500000US05009,05009,"Boone County, Arkansas",37301,859
0500000US05011,05011,"Bradley County, Arkansas",11096,1573
0500000US05013,05013,"Calhoun County, Arkansas",5210,198
0500000US05015,05015,"Carroll County, Arkansas",27690,4021
0500000US05017,05017,"Chicot County, Arkansas",11189,578
0500000US05019,05019,"Clark County, Arkansas",22684,1013
0500000US05021,05021,"Clay County, Arkansas",15202,275
0500000US05023,05023,"Cleburne County, Arkansas",25587,615
0500000US05025,05025,"Cleveland County, Arkansas",8421,189
0500000US05027,05027,"Columbia County, Arkansas",24168,619
0500000US05029,05029,"Conway County, Arkansas",21060,790
0500000US05031,05031,"Craighead County, Arkansas",102884,4856
0500000US05033,05033,"Crawford County, Arkansas",61927,4328
0500000US05035,05035,"Crittenden County, Arkansas",49511,1151
0500000US05037,05037,"Cross County, Arkansas",17329,322
0500000US05039,05039,"Dallas County, Arkansas",7738,229
0500000US05041,05041,"Desha County, Arkansas",12234,642
0500000US05043,05043,"Drew County, Arkansas",18688,551
0500000US05045,05045,"Faulkner County, Arkansas",120417,4754
0500000US05047,05047,"Franklin County, Arkansas",17799,501
0500000US05049,05049,"Fulton County, Arkansas",12186,158
0500000US05051,05051,"Garland County, Arkansas",97119,5064
0500000US05053,05053,"Grant County, Arkansas",18046,168
0500000US05055,05055,"Greene County, Arkansas",43745,1144
0500000US05057,05057,"Hempstead County, Arkansas",22208,2782
0500000US05059,05059,"Hot Spring County, Arkansas",33440,1093
0500000US05061,05061,"Howard County, Arkansas",13487,1538
0500000US05063,05063,"Independence County, Arkansas",37030,2221
0500000US05065,05065,"Izard County, Arkansas",13461,254
0500000US05067,05067,"Jackson County, Arkansas",17495,469
0500000US05069,05069,"Jefferson County, Arkansas",72385,1369
0500000US05071,05071,"Johnson County, Arkansas",26025,3474
0500000US05073,05073,"Lafayette County, Arkansas",7127,71
0500000US05075,05075,"Lawrence County, Arkansas",16915,209
0500000US05077,05077,"Lee County, Arkansas",9781,144
0500000US05079,05079,"Lincoln County, Arkansas",13935,501
0500000US05081,05081,"Little River County, Arkansas",12616,404
0500000US05083,05083,"Logan County, Arkansas",21935,593
0500000US05085,05085,"Lonoke County, Arkansas",71279,2895
0500000US05087,05087,"Madison County, Arkansas",15761,827
0500000US05089,05089,"Marion County, Arkansas",16404,344
0500000US05091,05091,"Miller County, Arkansas",43666,1266
0500000US05093,05093,"Mississippi County, Arkansas",44199,1725
0500000US05095,05095,"Monroe County, Arkansas",7542,181
0500000US05097,05097,"Montgomery County, Arkansas",9100,355
0500000US05099,05099,"Nevada County, Arkansas",8668,26
0500000US05101,05101,"Newton County, Arkansas",7988,86
0500000US05103,05103,"Ouachita County, Arkansas",24728,494
0500000US05105,05105,"Perry County, Arkansas",10246,243
0500000US05107,05107,"Phillips County, Arkansas",19929,332
0500000US05109,05109,"Pike County, Arkansas",11017,727
0500000US05111,05111,"Poinsett County, Arkansas",24131,665
0500000US05113,05113,"Polk County, Arkansas",20290,1278
0500000US05115,05115,"Pope County, Arkansas",63107,5175
0500000US05117,05117,"Prairie County, Arkansas",8334,34
0500000US05119,05119,"Pulaski County, Arkansas",391806,23294
0500000US05121,05121,"Randolph County, Arkansas",17584,312
0500000US05123,05123,"St. Francis County, Arkansas",27023,1260
0500000US05125,05125,"Saline County, Arkansas",115577,4895
0500000US05127,05127,"Scott County, Arkansas",10661,786
0500000US05129,05129,"Searcy County, Arkansas",7938,107
0500000US05131,05131,"Sebastian County, Arkansas",127351,17041
0500000US05133,05133,"Sevier County, Arkansas",17193,5560
0500000US05135,05135,"Sharp County, Arkansas",17027,355
0500000US05137,05137,"Stone County, Arkansas",12503,213
0500000US05139,05139,"Union County, Arkansas",40334,1486
0500000US05141,05141,"Van Buren County, Arkansas",16892,488
0500000US05143,05143,"Washington County, Arkansas",219930,35554
0500000US05145,05145,"White County, Arkansas",78823,3214
0500000US05147,05147,"Woodruff County, Arkansas",6873,43
0500000US05149,05149,"Yell County, Arkansas",21716,4191
0500000US06001,06001,"Alameda County, California",1605217,362070
0500000US06003,06003,"Alpine County, California",1184,92
0500000US06005,06005,"Amador County, California",36963,4822
0500000US06007,06007,"Butte County, California",223877,34503
0500000US06009,06009,"Calaveras County, California",44787,5028
0500000US06011,06011,"Colusa County, California",21361,12351
0500000US06013,06013,"Contra Costa County, California",1107925,277676
0500000US06015,06015,"Del Norte County, California",27628,5326
0500000US06017,06017,"El Dorado County, California",183000,22868
0500000US06019,06019,"Fresno County, California",963160,501136
0500000US06021,06021,"Glenn County, California",27976,11255
0500000US06023,06023,"Humboldt County, California",135182,14530
0500000US06025,06025,"Imperial County, California",178807,147880
0500000US06027,06027,"Inyo County, California",18326,3867
0500000US06029,06029,"Kern County, California",871337,449747
0500000US06031,06031,"Kings County, California",150261,79862
0500000US06033,06033,"Lake County, California",64076,12086
0500000US06035,06035,"Lassen County, California",31945,5880
0500000US06037,06037,"Los Angeles County, California",10057155,4861648
0500000US06039,06039,"Madera County, California",153366,86265
0500000US06041,06041,"Marin County, California",259358,40943
0500000US06043,06043,"Mariposa County, California",17645,1789
0500000US06045,06045,"Mendocino County, California",87409,20955
0500000US06047,06047,"Merced County, California",265001,152475
0500000US06049,06049,"Modoc County, California",9033,1335
0500000US06051,06051,"Mono County, California",14051,3865
0500000US06053,06053,"Monterey County, California",430201,247084
0500000US06055,06055,"Napa County, California",140823,47164
0500000US06057,06057,"Nevada County, California",98639,9019
0500000US06059,06059,"Orange County, California",3132211,1070553
0500000US06061,06061,"Placer County, California",370571,49904
0500000US06063,06063,"Plumas County, California",18754,1578
0500000US06065,06065,"Riverside County, California",2323892,1102968
0500000US06067,06067,"Sacramento County, California",1479300,332967
0500000US06069,06069,"San Benito County, California",58051,33864
0500000US06071,06071,"San Bernardino County, California",2106754,1089104
0500000US06073,06073,"San Diego County, California",3253356,1076319
0500000US06075,06075,"San Francisco County, California",850282,129898
0500000US06077,06077,"San Joaquin County, California",714860,289329
0500000US06079,06079,"San Luis Obispo County, California",278680,61095
0500000US06081,06081,"San Mateo County, California",754748,189305
0500000US06083,06083,"Santa Barbara County, California",439395,195021
0500000US06085,06085,"Santa Clara County, California",1885056,496591
0500000US06087,06087,"Santa Cruz County, California",270931,89587
0500000US06089,06089,"Shasta County, California",179228,16703
0500000US06091,06091,"Sierra County, California",2931,305
0500000US06093,06093,"Siskiyou County, California",43668,5100
0500000US06095,06095,"Solano County, California",429596,109287
0500000US06097,06097,"Sonoma County, California",497776,129634
0500000US06099,06099,"Stanislaus County, California",530561,234995
0500000US06101,06101,"Sutter County, California",95406,28485
0500000US06103,06103,"Tehama County, California",63015,14959
0500000US06105,06105,"Trinity County, California",13180,950
0500000US06107,06107,"Tulare County, California",455769,287144
0500000US06109,06109,"Tuolumne County, California",53864,6233
0500000US06111,06111,"Ventura County, California",843110,353232
0500000US06113,06113,"Yolo County, California",209671,65448
0500000US06115,06115,"Yuba County, California",73897,19903
0500000US08001,08001,"Adams County, Colorado",479977,186852
0500000US08003,08003,"Alamosa County, Colorado",16353,7470
0500000US08005,08005,"Arapahoe County, Colorado",617668,115309
0500000US08007,08007,"Archuleta County, Colorado",12355,2290
0500000US08009,08009,"Baca County, Colorado",3648,363
0500000US08011,08011,"Bent County, Colorado",5816,1838
0500000US08013,08013,"Boulder County, Colorado",313961,42914
0500000US08014,08014,"Broomfield County, Colorado",62449,7448
0500000US08015,08015,"Chaffee County, Colorado",18507,1876
0500000US08017,08017,"Cheyenne County, Colorado",2071,266
0500000US08019,08019,"Clear Creek County, Colorado",9238,523
0500000US08021,08021,"Conejos County, Colorado",8213,4435
0500000US08023,08023,"Costilla County, Colorado",3590,2302
0500000US08025,08025,"Crowley County, Colorado",5537,1708
0500000US08027,08027,"Custer County, Colorado",4375,195
0500000US08029,08029,"Delta County, Colorado",30221,4499
0500000US08031,08031,"Denver County, Colorado",663303,204042
0500000US08033,08033,"Dolores County, Colorado",1789,93
0500000US08035,08035,"Douglas County, Colorado",314238,25735
0500000US08037,08037,"Eagle County, Colorado",52894,15724
0500000US08039,08039,"Elbert County, Colorado",24225,1514
0500000US08041,08041,"El Paso County, Colorado",665171,107654
0500000US08043,08043,"Fremont County, Colorado",46835,6037
0500000US08045,08045,"Garfield County, Colorado",57495,16056
0500000US08047,08047,"Gilpin County, Colorado",5708,534
0500000US08049,08049,"Grand County, Colorado",14490,1151
0500000US08051,08051,"Gunnison County, Colorado",15889,1413
0500000US08053,08053,"Hinsdale County, Colorado",856,26
0500000US08055,08055,"Huerfano County, Colorado",6521,2246
0500000US08057,08057,"Jackson County, Colorado",1306,226
0500000US08059,08059,"Jefferson County, Colorado",558810,84009
0500000US08061,08061,"Kiowa County, Colorado",1465,97
0500000US08063,08063,"Kit Carson County, Colorado",8174,1589
0500000US08065,08065,"Lake County, Colorado",7401,2554
0500000US08067,08067,"La Plata County, Colorado",53994,6684
0500000US08069,08069,"Larimer County, Colorado",325228,35804
0500000US08071,08071,"Las Animas County, Colorado",14322,6060
0500000US08073,08073,"Lincoln County, Colorado",5515,1176
0500000US08075,08075,"Logan County, Colorado",21862,3350
0500000US08077,08077,"Mesa County, Colorado",148166,20788
0500000US08079,08079,"Mineral County, Colorado",793,115
0500000US08081,08081,"Moffat County, Colorado",13034,1904
0500000US08083,08083,"Montezuma County, Colorado",26006,3149
0500000US08085,08085,"Montrose County, Colorado",40866,8255
0500000US08087,08087,"Morgan County, Colorado",28288,9958
0500000US08089,08089,"Otero County, Colorado",18440,7613
0500000US08091,08091,"Ouray County, Colorado",4651,297
0500000US08093,08093,"Park County, Colorado",16440,921
0500000US08095,08095,"Phillips County, Colorado",4347,771
0500000US08097,08097,"Pitkin County, Colorado",17543,1720
0500000US08099,08099,"Prowers County, Colorado",12121,4449
0500000US08101,08101,"Pueblo County, Colorado",162158,68992
0500000US08103,08103,"Rio Blanco County, Colorado",6658,685
0500000US08105,08105,"Rio Grande County, Colorado",11623,5151
0500000US08107,08107,"Routt County, Colorado",23980,1649
0500000US08109,08109,"Saguache County, Colorado",6255,2383
0500000US08111,08111,"San Juan County, Colorado",552,130
0500000US08113,08113,"San Miguel County, Colorado",7767,756
0500000US08115,08115,"Sedgwick County, Colorado",2367,329
0500000US08117,08117,"Summit County, Colorado",29269,4143
0500000US08119,08119,"Teller County, Colorado",23472,1432
0500000US08121,08121,"Washington County, Colorado",4814,442
0500000US08123,08123,"Weld County, Colorado",278065,80005
0500000US08125,08125,"Yuma County, Colorado",10150,2193
0500000US09001,09001,"Fairfield County, Connecticut",941618,175480
0500000US09003,09003,"Hartford County, Connecticut",895699,151355
0500000US09005,09005,"Litchfield County, Connecticut",185141,10003
0500000US09007,09007,"Middlesex County, Connecticut",164438,9276
0500000US09009,09009,"New Haven County, Connecticut",860874,144549
0500000US09011,09011,"New London County, Connecticut",272033,26701
0500000US09013,09013,"Tolland County, Connecticut",151689,7629
0500000US09015,09015,"Windham County, Connecticut",117078,12735
0500000US10001,10001,"Kent County, Delaware",171474,11326
0500000US10003,10003,"New Castle County, Delaware",551997,51912
0500000US10005,10005,"Sussex County, Delaware",211224,19424
0500000US11001,11001,"District of Columbia, District of Columbia",659009,69106
0500000US12001,12001,"Alachua County, Florida",256581,23079
0500000US12003,12003,"Baker County, Florida",27312,633
0500000US12005,12005,"Bay County, Florida",178361,10217
0500000US12007,12007,"Bradford County, Florida",26919,1022
0500000US12009,12009,"Brevard County, Florida",560683,52153
0500000US12011,12011,"Broward County, Florida",1863780,513748
0500000US12013,12013,"Calhoun County, Florida",14550,820
0500000US12015,12015,"Charlotte County, Florida",169642,11251
0500000US12017,12017,"Citrus County, Florida",140453,7194
0500000US12019,12019,"Clay County, Florida",200346,18047
0500000US12021,12021,"Collier County, Florida",348236,92751
0500000US12023,12023,"Columbia County, Florida",68198,3788
0500000US12027,12027,"DeSoto County, Florida",35134,10782
0500000US12029,12029,"Dixie County, Florida",16084,608
0500000US12031,12031,"Duval County, Florida",900890,77771
0500000US12033,12033,"Escambia County, Florida",309574,16686
0500000US12035,12035,"Flagler County, Florida",102917,10079
0500000US12037,12037,"Franklin County, Florida",11705,599
0500000US12039,12039,"Gadsden County, Florida",46153,4628
0500000US12041,12041,"Gilchrist County, Florida",17033,909
0500000US12043,12043,"Glades County, Florida",13420,2817
0500000US12045,12045,"Gulf County, Florida",15851,762
0500000US12047,12047,"Hamilton County, Florida",14362,1297
0500000US12049,12049,"Hardee County, Florida",27302,11741
0500000US12051,12051,"Hendry County, Florida",38376,19625
0500000US12053,12053,"Hernando County, Florida",176797,20459
0500000US12055,12055,"Highlands County, Florida",98862,18267
0500000US12057,12057,"Hillsborough County, Florida",1323059,352295
0500000US12059,12059,"Holmes County, Florida",19569,310
0500000US12061,12061,"Indian River County, Florida",145342,17143
0500000US12063,12063,"Jackson County, Florida",48721,2240
0500000US12065,12065,"Jefferson County, Florida",14082,569
0500000US12067,12067,"Lafayette County, Florida",8742,1124
0500000US12069,12069,"Lake County, Florida",317586,43852
0500000US12071,12071,"Lee County, Florida",680970,133752
0500000US12073,12073,"Leon County, Florida",284788,17319
0500000US12075,12075,"Levy County, Florida",39707,3148
0500000US12077,12077,"Liberty County, Florida",8285,510
0500000US12079,12079,"Madison County, Florida",18560,896
0500000US12081,12081,"Manatee County, Florida",353411,55380
0500000US12083,12083,"Marion County, Florida",340341,40579
0500000US12085,12085,"Martin County, Florida",153592,19777
0500000US12086,12086,"Miami-Dade County, Florida",2664418,1769923
0500000US12087,12087,"Monroe County, Florida",77150,17364
0500000US12089,12089,"Nassau County, Florida",77187,2922
0500000US12091,12091,"Okaloosa County, Florida",195798,16347
0500000US12093,12093,"Okeechobee County, Florida",39420,9890
0500000US12095,12095,"Orange County, Florida",1256055,368503
0500000US12097,12097,"Osceola County, Florida",311962,156730
0500000US12099,12099,"Palm Beach County, Florida",1398757,289651
0500000US12101,12101,"Pasco County, Florida",488310,65569
0500000US12103,12103,"Pinellas County, Florida",939548,83145
0500000US12105,12105,"Polk County, Florida",637691,125841
0500000US12107,12107,"Putnam County, Florida",72304,6901
0500000US12109,12109,"St. Johns County, Florida",218362,13384
0500000US12111,12111,"St. Lucie County, Florida",293136,51763
0500000US12113,12113,"Santa Rosa County, Florida",163903,8379
0500000US12115,12115,"Sarasota County, Florida",398011,34234
0500000US12117,12117,"Seminole County, Florida",442905,85292
0500000US12119,12119,"Sumter County, Florida",113589,6357
0500000US12121,12121,"Suwannee County, Florida",43653,3818
0500000US12123,12123,"Taylor County, Florida",22582,777
0500000US12125,12125,"Union County, Florida",15159,821
0500000US12127,12127,"Volusia County, Florida",510806,62994
0500000US12129,12129,"Wakulla County, Florida",31314,1152
0500000US12131,12131,"Walton County, Florida",61528,3623
0500000US12133,12133,"Washington County, Florida",24627,847
0500000US13001,13001,"Appling County, Georgia",18410,1722
0500000US13003,13003,"Atkinson County, Georgia",8268,2046
0500000US13005,13005,"Bacon County, Georgia",11251,926
0500000US13007,13007,"Baker County, Georgia",3250,215
0500000US13009,13009,"Baldwin County, Georgia",45808,995
0500000US13011,13011,"Banks County, Georgia",18336,1164
0500000US13013,13013,"Barrow County, Georgia",73340,7043
0500000US13015,13015,"Bartow County, Georgia",101942,8153
0500000US13017,13017,"Ben Hill County, Georgia",17405,1054
0500000US13019,13019,"Berrien County, Georgia",18986,922
0500000US13021,13021,"Bibb County, Georgia",154194,4796
0500000US13023,13023,"Bleckley County, Georgia",12835,333
0500000US13025,13025,"Brantley County, Georgia",18403,392
0500000US13027,13027,"Brooks County, Georgia",15645,878
0500000US13029,13029,"Bryan County, Georgia",34104,2198
0500000US13031,13031,"Bulloch County, Georgia",73141,2658
0500000US13033,13033,"Burke County, Georgia",22838,680
0500000US13035,13035,"Butts County, Georgia",23479,724
0500000US13037,13037,"Calhoun County, Georgia",6443,296
0500000US13039,13039,"Camden County, Georgia",52092,3185
0500000US13043,13043,"Candler County, Georgia",10962,1212
0500000US13045,13045,"Carroll County, Georgia",113756,7465
0500000US13047,13047,"Catoosa County, Georgia",65645,1768
0500000US13049,13049,"Charlton County, Georgia",12968,1140
0500000US13051,13051,"Chatham County, Georgia",282613,17095
0500000US13053,13053,"Chattahoochee County, Georgia",11882,1761
0500000US13055,13055,"Chattooga County, Georgia",25046,1157
0500000US13057,13057,"Cherokee County, Georgia",230629,22809
0500000US13059,13059,"Clarke County, Georgia",122037,12838
0500000US13061,13061,"Clay County, Georgia",3068,155
0500000US13063,13063,"Clayton County, Georgia",270269,35506
0500000US13065,13065,"Clinch County, Georgia",6814,306
0500000US13067,13067,"Cobb County, Georgia",728388,91921
0500000US13069,13069,"Coffee County, Georgia",43042,4753
0500000US13071,13071,"Colquitt County, Georgia",46002,8535
0500000US13073,13073,"Columbia County, Georgia",139904,8455
0500000US13075,13075,"Cook County, Georgia",17103,997
0500000US13077,13077,"Coweta County, Georgia",135625,8992
0500000US13079,13079,"Crawford County, Georgia",12483,99
0500000US13081,13081,"Crisp County, Georgia",23061,749
0500000US13083,13083,"Dade County, Georgia",16356,349
0500000US13085,13085,"Dawson County, Georgia",22939,904
0500000US13087,13087,"Decatur County, Georgia",27237,1533
0500000US13089,13089,"DeKalb County, Georgia",723902,63173
0500000US13091,13091,"Dodge County, Georgia",20995,731
0500000US13093,13093,"Dooly County, Georgia",14089,1024
0500000US13095,13095,"Dougherty County, Georgia",92326,2347
0500000US13097,13097,"Douglas County, Georgia",138283,12445
0500000US13099,13099,"Early County, Georgia",10480,216
0500000US13101,13101,"Echols County, Georgia",4025,1196
0500000US13103,13103,"Effingham County, Georgia",55852,2056
0500000US13105,13105,"Elbert County, Georgia",19394,1052
0500000US13107,13107,"Emanuel County, Georgia",22723,1015
0500000US13109,13109,"Evans County, Georgia",10733,1250
0500000US13111,13111,"Fannin County, Georgia",24017,483
0500000US13113,13113,"Fayette County, Georgia",109495,7653
0500000US13115,13115,"Floyd County, Georgia",96199,9910
0500000US13117,13117,"Forsyth County, Georgia",203841,19121
0500000US13119,13119,"Franklin County, Georgia",22188,956
0500000US13121,13121,"Fulton County, Georgia",996757,73953
0500000US13123,13123,"Gilmer County, Georgia",28956,3169
0500000US13125,13125,"Glascock County, Georgia",3053,47
0500000US13127,13127,"Glynn County, Georgia",82623,5427
0500000US13129,13129,"Gordon County, Georgia",56079,8409
0500000US13131,13131,"Grady County, Georgia",25145,2678
0500000US13133,13133,"Greene County, Georgia",16535,1020
0500000US13135,13135,"Gwinnett County, Georgia",874242,179634
0500000US13137,13137,"Habersham County, Georgia",43724,6013
0500000US13139,13139,"Hall County, Georgia",190482,52154
0500000US13141,13141,"Hancock County, Georgia",8747,169
0500000US13143,13143,"Haralson County, Georgia",28667,420
0500000US13145,13145,"Harris County, Georgia",32992,1036
0500000US13147,13147,"Hart County, Georgia",25518,919
0500000US13149,13149,"Heard County, Georgia",11571,71
0500000US13151,13151,"Henry County, Georgia",214171,13492
0500000US13153,13153,"Houston County, Georgia",149137,9613
0500000US13155,13155,"Irwin County, Georgia",9365,107
0500000US13157,13157,"Jackson County, Georgia",62131,4319
0500000US13159,13159,"Jasper County, Georgia",13571,523
0500000US13161,13161,"Jeff Davis County, Georgia",14953,1708
0500000US13163,13163,"Jefferson County, Georgia",16201,558
0500000US13165,13165,"Jenkins County, Georgia",9055,353
0500000US13167,13167,"Johnson County, Georgia",9694,224
0500000US13169,13169,"Jones County, Georgia",28701,393
0500000US13171,13171,"Lamar County, Georgia",18195,400
0500000US13173,13173,"Lanier County, Georgia",10382,546
0500000US13175,13175,"Laurens County, Georgia",47802,1204
0500000US13177,13177,"Lee County, Georgia",29134,779
0500000US13179,13179,"Liberty County, Georgia",63949,7706
0500000US13181,13181,"Lincoln County, Georgia",7712,109
0500000US13183,13183,"Long County, Georgia",17243,2031
0500000US13185,13185,"Lowndes County, Georgia",113898,6055
0500000US13187,13187,"Lumpkin County, Georgia",31094,1430
0500000US13189,13189,"McDuffie County, Georgia",21558,601
0500000US13191,13191,"McIntosh County, Georgia",13941,195
0500000US13193,13193,"Macon County, Georgia",13846,556
0500000US13195,13195,"Madison County, Georgia",28362,1315
0500000US13197,13197,"Marion County, Georgia",8646,141
0500000US13199,13199,"Meriwether County, Georgia",21195,189
0500000US13201,13201,"Miller County, Georgia",5911,6
0500000US13205,13205,"Mitchell County, Georgia",22778,998
0500000US13207,13207,"Monroe County, Georgia",27044,628
0500000US13209,13209,"Montgomery County, Georgia",9005,574
0500000US13211,13211,"Morgan County, Georgia",17943,556
0500000US13213,13213,"Murray County, Georgia",39358,5496
0500000US13215,13215,"Muscogee County, Georgia",200303,14805
0500000US13217,13217,"Newton County, Georgia",103901,5097
0500000US13219,13219,"Oconee County, Georgia",35071,1630
0500000US13221,13221,"Oglethorpe County, Georgia",14743,590
0500000US13223,13223,"Paulding County, Georgia",149830,8434
0500000US13225,13225,"Peach County, Georgia",26907,1950
